e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
5,2,3,2,5,27,2,2,25,2,4,5,1,5,6,5,3,2,2,6,2,3,2,1,14,1,1,1,4,2,1,4,1,2,4,6,2,5,4,,8,,,,,6,3,6,,8,,3,,4,5,5,82,82,5
5,1,4,2,6,24,2,1,24,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,42
5,6,4,4,5,25,3,0,25,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,
2,2,1,2,4,22,3,6,25,1,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,5,2
,2,1,2,2,24,2,4,26,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,18
4,2,1,1,2,20,1,2,20,2,5,5,1,5,7,7,1,1,2,7,1,1,3,1,14,2,4,1,5,5,4,7,7,5,7,6,3,3,6,8,,,,9,,1,2,3,5,,5,9,8,5,5,5,34,34,36
3,1,1,2,4,23,3,7,21,4,4,4,2,4,4,6,2,2,4,6,2,2,6,4,14,1,1,1,6,2,1,1,1,1,7,7,4,2,4,5,1,2,,,,2,,1,,3,,,,5,5,5,26,9,5
,2,1,2,3,23,4,3,26,4,5,5,1,5,7,7,1,1,4,6,1,1,4,1,14,1,1,1,1,1,2,1,1,1,9,9,4,2,10,4,,,,3,,4,,,2,,3,,,3,5,5,36,11,15
2,2,1,2,4,26,5,3,,3,4,5,1,5,6,6,2,4,4,5,2,2,3,1,12,3,9,1,9,9,2,2,2,6,2,2,,,,,,,2,,,6,,2,,,4,,,4,4,4,73,73,75
2,1,1,2,3,27,2,4,31,1,5,5,2,5,7,7,1,2,2,6,2,2,1,1,12,4,3,1,2,2,3,4,6,4,2,2,7,3,5,8,2,3,6,6,5,1,2,6,3,5,4,4,8,5,5,5,60,60,68
4,2,1,2,4,23,3,5,,3,3,3,1,4,6,2,5,2,2,7,2,2,5,1,9,6,7,2,2,6,6,6,6,6,2,1,8,5,5,9,5,5,8,7,8,10,2,7,10,7,6,1,2,5,4,5,24,3,18
,2,1,2,3,22,3,1,23,1,3,3,1,4,7,6,1,7,5,6,2,2,5,1,14,3,2,1,2,1,5,6,4,6,4,3,5,2,1,7,3,,,8,,10,,3,1,2,6,1,6,5,5,4,18,5,9
